room,hand,player,pos,hole,contributed,won,net,vpip,pfr,saw_flop,showdown,won_at_sd
main2,1,SL,SB,3s Ts 7d Ah,35,0,-35,1,0,1,0,0
main2,1,쌍오,BB,2s Ks 9d 3d,35,52,17,1,0,1,1,1
main2,1,잃어버린24만칩,UTG,Ad Qc Th Qd,35,0,-35,1,1,1,0,0
main2,1,JA,HJ,Kc Kd 8h 5h,35,105,70,1,0,1,1,1
main2,1,doil,CO,As Qh 7s 6c,35,0,-35,1,0,1,1,0
main2,1,59,BTN,3c 9h Jd 2c,35,53,18,1,0,1,1,1
main2,2,쌍오,SB,9h 6d 6s Kd,11100,0,-11100,1,0,1,0,0
main2,2,잃어버린24만칩,BB,Ks 9s 5c Th,26100,45000,18900,1,1,1,0,0
main2,2,JA,UTG,2s 3c Jd Qh,0,0,0,0,0,0,0,0
main2,2,doil,HJ,4s 3d Qs Ac,600,0,-600,1,0,0,0,0
main2,2,59,CO,As 7d 5s 5h,3600,0,-3600,1,0,1,0,0
main2,2,SL,BTN,3s 3h Js Kh,3600,0,-3600,1,0,1,0,0
main2,3,잃어버린24만칩,SB,5h 6c 8s 6d,78865,22500,-56365,1,0,1,1,1
main2,3,doil,UTG,4c Ks 9c 4h,59365,90248,30883,1,0,1,1,1
main2,3,59,HJ,7h 2h 8c Ah,4200,0,-4200,1,0,1,0,0
main2,3,SL,CO,7c 6s 7s 5s,56365,87247,30882,1,0,1,1,1
main2,3,쌍오,BTN,3s Jc 2c 8h,600,0,-600,1,0,1,0,0
main2,4,doil,BB,6d 2h 2c Ts,600,0,-600,0,0,0,0,0
main2,4,59,UTG,2s As Qd Qc,3300,0,-3300,1,0,1,0,0
main2,4,SL,HJ,Jh 3c 6c 8h,22500,26250,3750,1,0,1,1,1
main2,4,쌍오,CO,Qs 4c Kc 3d,3300,0,-3300,1,1,1,0,0
main2,4,잃어버린24만칩,BTN,5c 6h Jc 9c,22500,26250,3750,1,0,1,1,1
main2,5,doil,SB,Js 2c 6c 3h,300,0,-300,0,0,0,0,0
main2,5,59,BB,Ks 4c 2s Th,600,0,-600,0,0,1,0,0
main2,5,SL,UTG,6s Tc 5d Kh,600,0,-600,1,0,1,0,0
main2,5,쌍오,HJ,Jd 7h 4d 4s,43500,71850,28350,1,0,1,1,1
main2,5,잃어버린24만칩,CO,Td 3d 5h Qs,26250,0,-26250,1,0,1,1,0
main2,5,JA,BTN,Ad 7s 4h Qh,600,0,-600,1,0,1,0,0
main2,6,59,SB,Kc 6c Jd Qd,6000,0,-6000,1,0,1,0,0
main2,6,SL,BB,4c 2d 7s Td,6000,0,-6000,1,0,1,0,0
